id,name,location_id,country_code,latitude,longitude,elevation_msl,installation_height,installation_date,county
TA00808,Eldoret Station 2,1114,KE,0.5721407,35.309824,2146.0,2.0,2023-03-17T00:00:00Z,Uasin Gishu
TA00815,ILRI - GAW Station ,1156,KE,-0.0621227,37.2973827,3668.0,2.0,2023-10-19T00:00:00Z,Other Kenya
TA00822,Enarau Conservancy ,1259,KE,-1.0078587,35.334261,1789.0,2.0,2024-02-15T00:00:00Z,Narok
TA00823,Enonkishu Conservancy,1260,KE,-1.0761066,35.2853231,1774.0,2.0,2024-02-17T00:00:00Z,Narok
TA00825,Mara North Conservancy (Naishi),1263,KE,-1.1642365,35.2990749,1852.0,2.0,2024-02-19T00:00:00Z,Narok
TA00826,Mara North Conservancy (Nkorobob),1265,KE,-1.3058739,35.1186209,1569.0,2.0,2024-02-18T00:00:00Z,Narok
TA00827,Olderkesi Conservancy,1266,KE,-1.6829133,35.347052,1775.0,2.0,2024-02-25T00:00:00Z,Narok
TA00829,Olkinyei Conservancy,1268,KE,-1.353287,35.4366547,1816.0,2.0,2024-02-24T00:00:00Z,Narok
TA00833,Kimentet Hq,1306,KE,-1.2133147,34.9995108,1841.0,2.0,2024-04-08T00:00:00Z,Other Kenya
TA00834,Olchorro Rhino,1307,KE,-1.1107933,35.2536368,1860.0,2.0,2024-04-07T00:00:00Z,Narok
TA00835,Olare Orok HQ,1308,KE,-1.3638487,35.2335349,1686.0,2.0,2024-04-08T00:00:00Z,Narok
TA00846,ARCUS- Masinde Muliro University Of Science and Technology (MMUST) ,1385,KE,0.2879399,34.7646721,1545.0,2.0,2024-05-22T00:00:00Z,Kakamega
TA00876,ARCUS- Ulanda girls,1614,KE,-1.0091148,34.5878372,1516.0,2.0,2024-09-05T00:00:00Z,Migori
