county,year,season,seasonal_rainfall_mm,rainy_days,heavy_rain_days,max_dry_spell_days,onset_week,temp_mean_c,temp_max_c,temp_min_c,elevation_m,drought_risk_index
Kakamega,2018,Long Rains (MAM),909.7,61,17,6,1,20.4,28.4,11.3,1566.0,0.0
Kakamega,2018,Short Rains (OND),498.0,41,7,14,1,17.7,25.2,9.6,1566.0,0.16
Kakamega,2019,Long Rains (MAM),527.0,45,9,17,1,20.4,28.6,12.3,1566.0,0.169
Kakamega,2019,Short Rains (OND),749.1,60,10,6,1,17.8,26.3,10.2,1566.0,0.0
Kakamega,2020,Long Rains (MAM),1025.7,62,17,8,1,20.4,28.6,11.9,1566.0,0.0
Kakamega,2020,Short Rains (OND),90.1,8,1,5,3,17.7,25.3,10.0,1566.0,0.56
Kakamega,2021,Long Rains (MAM),940.1,51,17,8,1,20.4,28.6,12.4,1566.0,0.0
Kakamega,2021,Short Rains (OND),34.3,3,0,14,7,18.2,25.6,10.8,1566.0,0.778
Kakamega,2022,Long Rains (MAM),568.2,38,8,5,1,20.8,27.7,13.6,1566.0,0.0
Kakamega,2022,Short Rains (OND),416.1,41,7,18,1,18.1,25.6,10.6,1566.0,0.333
Kakamega,2023,Long Rains (MAM),1027.8,55,18,9,1,20.6,28.7,12.9,1566.0,0.0
Kakamega,2023,Short Rains (OND),536.7,53,8,8,2,18.0,25.2,10.1,1566.0,0.012
Kakamega,2024,Long Rains (MAM),991.6,62,21,16,1,21.0,28.9,13.2,1565.0,0.0
Kakamega,2024,Short Rains (OND),365.7,29,7,8,3,18.3,25.8,10.2,1546.0,0.24
Kakamega,2025,Long Rains (MAM),866.9,56,12,7,2,20.7,29.1,13.2,1566.0,0.0
Kericho,2015,Short Rains (OND),117.2,14,1,6,2,16.2,23.7,8.6,1765.0,0.54
Kericho,2016,Long Rains (MAM),725.9,48,10,11,2,18.9,26.8,10.3,1765.0,0.0
Kericho,2016,Short Rains (OND),254.8,33,2,15,1,16.3,24.0,8.8,1765.0,0.5
Kericho,2018,Short Rains (OND),356.4,48,3,8,2,15.9,23.4,8.1,1862.0,0.253
Kericho,2019,Long Rains (MAM),503.5,51,9,18,1,18.4,25.6,11.3,1865.0,0.217
Kericho,2019,Short Rains (OND),496.6,37,9,4,1,15.3,23.2,6.6,1959.0,0.002
Kericho,2020,Long Rains (MAM),156.6,15,2,7,2,18.7,26.0,11.9,1890.0,0.503
Kericho,2020,Short Rains (OND),497.3,60,6,9,2,16.0,22.8,9.0,1862.0,0.081
Kericho,2021,Long Rains (MAM),439.6,48,5,7,5,19.2,26.4,11.4,1773.0,0.126
Kericho,2021,Short Rains (OND),218.7,44,0,7,2,16.1,23.0,9.2,1862.0,0.42
Kericho,2022,Long Rains (MAM),619.5,57,9,13,2,18.7,26.1,11.4,1862.0,0.0
Kericho,2022,Short Rains (OND),92.1,14,1,3,2,15.6,23.4,8.1,1959.0,0.525
Kericho,2023,Short Rains (OND),241.0,32,3,6,1,16.7,23.9,8.5,1765.0,0.375
Kericho,2024,Short Rains (OND),629.9,61,9,6,2,16.3,23.2,9.4,1862.0,0.0
Kericho,2025,Long Rains (MAM),780.2,68,9,7,2,18.9,26.1,11.8,1862.0,0.0
Kiambu,2015,Short Rains (OND),685.8,42,12,12,3,16.8,25.8,9.2,1668.0,0.0
Kiambu,2016,Long Rains (MAM),545.5,37,10,21,5,18.8,26.2,11.5,1766.0,0.209
Kiambu,2016,Short Rains (OND),174.0,29,0,27,5,17.0,24.1,9.6,1650.0,0.8
Kiambu,2017,Long Rains (MAM),310.2,23,5,26,6,19.3,27.5,11.8,1689.0,0.602
Kiambu,2017,Short Rains (OND),402.2,33,8,12,2,16.8,23.6,9.6,1712.0,0.256
Kiambu,2018,Long Rains (MAM),946.3,66,17,7,1,19.1,26.6,11.8,1760.0,0.0
Kiambu,2018,Short Rains (OND),257.4,35,3,15,9,17.2,24.8,10.2,1641.0,0.497
Kiambu,2019,Long Rains (MAM),224.8,26,3,22,8,19.9,27.0,13.1,1642.0,0.652
Kiambu,2019,Short Rains (OND),785.9,54,13,8,2,16.8,24.4,8.8,1709.0,0.0
Kiambu,2020,Long Rains (MAM),537.5,43,9,10,1,20.2,27.0,13.1,1602.0,0.043
Kiambu,2020,Short Rains (OND),285.6,36,3,10,3,16.8,23.3,9.8,1728.0,0.379
Kiambu,2021,Long Rains (MAM),379.8,39,4,14,3,19.3,26.2,12.8,1753.0,0.318
Kiambu,2021,Short Rains (OND),331.6,31,5,12,3,16.7,24.0,9.3,1736.0,0.35
Kiambu,2022,Long Rains (MAM),246.4,25,5,25,8,20.1,27.2,12.6,1633.0,0.671
Kiambu,2022,Short Rains (OND),274.5,27,3,28,5,18.0,25.5,10.9,1580.0,0.682
Kiambu,2023,Long Rains (MAM),372.6,35,3,14,3,20.4,28.1,13.2,1592.0,0.327
Kiambu,2024,Long Rains (MAM),956.6,45,15,9,2,18.4,26.2,10.3,1996.0,0.0
Kiambu,2024,Short Rains (OND),378.7,34,4,16,3,17.1,23.7,10.4,1729.0,0.351
Kiambu,2025,Long Rains (MAM),609.8,53,12,10,2,19.7,26.5,13.0,1731.0,0.0
Kilifi,2017,Long Rains (MAM),355.0,38,3,9,6,28.8,36.9,20.5,165.0,0.271
Kilifi,2017,Short Rains (OND),209.1,20,3,22,3,26.4,34.3,18.1,165.0,0.673
Kilifi,2018,Long Rains (MAM),402.6,34,8,9,1,28.9,37.3,20.6,165.0,0.207
Kilifi,2018,Short Rains (OND),247.2,16,5,16,3,26.4,34.1,18.4,165.0,0.526
Kilifi,2020,Long Rains (MAM),377.9,36,5,9,1,29.0,37.9,21.4,165.0,0.24
Kilifi,2020,Short Rains (OND),237.5,24,3,13,4,26.5,34.2,18.6,165.0,0.491
Kilifi,2021,Long Rains (MAM),97.0,8,1,29,7,29.1,36.9,20.9,165.0,0.935
Kilifi,2021,Short Rains (OND),118.2,10,1,56,9,26.6,33.9,19.1,165.0,1.0
Kilifi,2022,Long Rains (MAM),4.2,2,0,17,7,29.4,36.7,22.3,165.0,0.866
Kilifi,2022,Short Rains (OND),132.9,16,0,25,5,26.6,34.5,18.8,165.0,0.823
Kilifi,2023,Long Rains (MAM),240.4,25,3,18,4,29.4,37.4,21.0,165.0,0.567
Kilifi,2024,Short Rains (OND),347.6,26,5,19,8,26.7,34.7,19.2,165.0,0.441
Kilifi,2025,Long Rains (MAM),297.7,29,6,16,4,29.2,37.5,21.5,165.0,0.459
Kisii,2018,Long Rains (MAM),685.7,64,8,8,1,18.0,26.0,9.5,1923.0,0.0
Kisii,2018,Short Rains (OND),300.2,49,2,8,2,15.9,22.8,8.4,1841.0,0.328
Kisii,2019,Long Rains (MAM),473.3,62,3,8,1,18.7,26.9,11.4,1816.0,0.097
Kisii,2019,Short Rains (OND),697.6,63,6,7,1,15.5,22.8,7.6,1925.0,0.0
Kisii,2020,Long Rains (MAM),832.8,71,13,5,1,18.7,26.0,11.8,1838.0,0.0
Kisii,2020,Short Rains (OND),482.1,47,8,10,2,15.0,23.9,7.0,2052.0,0.117
Kisii,2021,Long Rains (MAM),619.0,57,9,4,1,20.5,28.6,12.9,1538.0,0.0
Kisii,2021,Short Rains (OND),228.6,28,1,6,1,16.3,24.2,8.1,1812.0,0.391
Kisii,2022,Long Rains (MAM),150.9,15,3,2,1,19.3,27.4,12.0,1812.0,0.431
Kisii,2022,Short Rains (OND),396.0,45,5,15,1,14.4,23.1,6.7,2145.0,0.312
Kisii,2023,Long Rains (MAM),833.1,59,14,8,1,16.9,25.3,9.7,2145.0,0.0
Kisii,2023,Short Rains (OND),126.7,19,0,5,1,14.4,21.3,7.8,2145.0,0.511
Kisii,2024,Long Rains (MAM),865.6,58,16,13,1,17.1,24.6,9.4,2145.0,0.0
Kisii,2024,Short Rains (OND),629.3,58,8,5,2,15.6,23.0,8.3,1978.0,0.0
Kisii,2025,Long Rains (MAM),724.6,68,13,7,2,18.1,25.6,10.8,1978.0,0.0
Kisumu,2015,Short Rains (OND),130.0,14,1,5,2,20.0,27.2,13.0,1170.0,0.507
Kisumu,2016,Long Rains (MAM),227.3,23,4,9,2,22.3,30.5,14.7,1170.0,0.441
Kisumu,2017,Long Rains (MAM),192.1,26,2,9,4,22.5,30.8,15.1,1189.0,0.488
Kisumu,2017,Short Rains (OND),239.8,38,1,19,3,18.9,25.8,11.9,1351.0,0.584
Kisumu,2018,Long Rains (MAM),554.7,57,4,6,1,21.6,28.7,14.2,1351.0,0.0
Kisumu,2018,Short Rains (OND),385.6,49,3,12,3,19.0,26.2,11.8,1351.0,0.278
Kisumu,2019,Long Rains (MAM),374.2,50,3,17,1,21.6,29.0,14.4,1351.0,0.373
Kisumu,2019,Short Rains (OND),576.2,65,7,6,1,19.1,27.2,11.4,1351.0,0.0
Kisumu,2020,Long Rains (MAM),723.1,50,13,7,1,22.9,30.3,15.2,1170.0,0.0
Kisumu,2020,Short Rains (OND),392.3,37,6,9,2,20.1,27.6,12.1,1201.0,0.221
Kisumu,2021,Long Rains (MAM),649.3,65,12,6,3,21.7,28.8,14.6,1351.0,0.0
Kisumu,2021,Short Rains (OND),369.3,44,2,10,1,19.4,26.6,11.6,1351.0,0.268
Kisumu,2022,Long Rains (MAM),610.4,51,14,14,4,22.2,30.8,14.6,1296.0,0.01
Kisumu,2022,Short Rains (OND),318.9,37,4,16,2,20.4,28.3,12.5,1170.0,0.431
Kisumu,2023,Long Rains (MAM),688.0,52,10,8,1,22.5,30.9,15.0,1268.0,0.0
Kisumu,2023,Short Rains (OND),656.3,62,7,7,2,19.3,26.6,11.7,1375.0,0.0
Kisumu,2024,Long Rains (MAM),832.3,53,17,15,1,20.9,29.0,13.7,1532.0,0.0
Kisumu,2024,Short Rains (OND),696.9,48,12,14,1,18.8,26.2,11.0,1467.0,0.0
Kisumu,2025,Long Rains (MAM),818.1,69,14,8,2,22.0,29.4,14.4,1355.0,0.0
Kitui,2017,Short Rains (OND),169.5,17,1,37,4,22.6,30.2,15.7,753.0,0.966
Kitui,2018,Long Rains (MAM),798.6,44,13,17,1,23.9,30.6,17.3,972.0,0.0
Kitui,2018,Short Rains (OND),377.0,30,9,30,5,21.0,27.9,14.1,1027.0,0.577
Kitui,2019,Long Rains (MAM),61.3,11,0,26,9,23.6,30.5,16.8,1027.0,0.934
Kitui,2019,Short Rains (OND),358.0,27,6,42,1,22.0,30.6,14.1,879.0,0.795
Kitui,2020,Long Rains (MAM),310.6,30,5,36,1,24.9,32.0,17.8,854.0,0.762
Kitui,2020,Short Rains (OND),322.9,29,4,28,5,22.3,29.8,15.3,826.0,0.617
Kitui,2021,Long Rains (MAM),225.1,19,3,19,5,24.9,31.8,18.0,849.0,0.604
Kitui,2021,Short Rains (OND),370.9,32,5,34,9,21.9,29.2,14.2,925.0,0.649
Kitui,2022,Long Rains (MAM),126.5,11,1,33,4,25.1,32.0,17.8,848.0,0.959
Kitui,2022,Short Rains (OND),241.0,30,2,31,7,22.5,29.6,15.3,849.0,0.775
Kitui,2023,Long Rains (MAM),435.1,31,7,26,3,25.1,33.6,17.8,850.0,0.436
Kitui,2023,Short Rains (OND),470.1,28,9,21,4,23.0,30.7,16.4,773.0,0.309
Kitui,2024,Long Rains (MAM),452.0,22,7,25,5,25.2,33.0,17.1,832.0,0.397
Kitui,2024,Short Rains (OND),245.3,29,2,35,6,21.7,29.3,14.6,985.0,0.833
Kitui,2025,Long Rains (MAM),444.7,31,7,19,3,24.5,31.6,17.2,965.0,0.311
Kwale,2015,Short Rains (OND),73.1,11,1,14,1,26.4,32.9,20.0,109.0,0.727
Kwale,2016,Long Rains (MAM),492.9,32,5,24,6,29.4,36.5,22.7,63.0,0.327
Kwale,2016,Short Rains (OND),114.3,15,1,22,6,27.0,35.1,18.7,20.0,0.8
Kwale,2017,Long Rains (MAM),720.0,37,13,27,5,29.7,37.4,21.6,23.0,0.072
Kwale,2017,Short Rains (OND),444.2,27,7,23,4,27.1,34.9,19.4,51.0,0.376
Kwale,2018,Long Rains (MAM),678.4,52,12,8,1,29.5,36.3,22.8,64.0,0.0
Kwale,2018,Short Rains (OND),371.7,26,4,13,4,26.6,33.1,20.1,128.0,0.312
Kwale,2019,Long Rains (MAM),693.3,37,9,29,5,29.3,36.1,22.5,116.0,0.14
Kwale,2019,Short Rains (OND),927.2,49,17,8,1,26.3,33.4,18.9,175.0,0.0
Kwale,2020,Long Rains (MAM),625.7,47,8,6,2,29.0,36.2,21.6,178.0,0.0
Kwale,2020,Short Rains (OND),345.8,39,5,15,5,26.8,33.5,20.1,125.0,0.379
Kwale,2021,Long Rains (MAM),235.9,24,3,26,5,29.5,35.9,22.6,109.0,0.702
Kwale,2021,Short Rains (OND),235.6,24,3,23,9,27.2,34.5,20.6,67.0,0.654
Kwale,2022,Long Rains (MAM),497.2,35,10,28,5,29.9,36.9,23.2,67.0,0.385
Kwale,2022,Short Rains (OND),183.2,24,2,22,6,27.5,35.0,20.6,45.0,0.708
Kwale,2023,Long Rains (MAM),626.6,49,7,18,6,29.7,36.6,22.9,109.0,0.053
Kwale,2023,Short Rains (OND),815.8,44,12,11,1,27.2,34.0,20.4,84.0,0.0
Kwale,2024,Long Rains (MAM),395.8,48,4,11,4,29.6,36.8,22.6,110.0,0.248
Kwale,2024,Short Rains (OND),368.7,36,6,14,2,27.1,34.4,19.6,129.0,0.332
Kwale,2025,Long Rains (MAM),541.4,46,8,17,4,29.9,37.2,22.5,93.0,0.15
Laikipia,2018,Long Rains (MAM),339.3,28,6,8,1,18.1,26.0,10.4,1896.0,0.276
Laikipia,2018,Short Rains (OND),132.2,18,1,14,5,15.7,23.1,7.6,1865.0,0.648
Laikipia,2019,Long Rains (MAM),21.4,1,1,3,7,18.2,24.3,11.8,2031.0,0.619
Laikipia,2019,Short Rains (OND),384.4,43,5,9,3,15.0,22.5,7.4,2018.0,0.231
Laikipia,2020,Long Rains (MAM),178.6,25,0,20,5,18.4,26.8,11.0,1884.0,0.682
Laikipia,2020,Short Rains (OND),219.6,28,3,21,3,15.9,23.1,8.2,1865.0,0.643
Laikipia,2021,Long Rains (MAM),66.4,9,0,19,6,18.5,26.4,11.2,1865.0,0.815
Laikipia,2021,Short Rains (OND),90.8,19,0,40,9,15.6,22.5,8.7,1948.0,1.0
Laikipia,2022,Long Rains (MAM),132.1,19,0,26,9,18.1,25.2,10.6,1948.0,0.84
Laikipia,2022,Short Rains (OND),111.0,24,0,20,10,15.8,22.8,8.8,1934.0,0.772
Laikipia,2023,Long Rains (MAM),246.0,31,3,29,4,18.6,26.6,10.2,1874.0,0.736
Laikipia,2023,Short Rains (OND),170.5,20,2,15,5,16.3,23.9,8.2,1865.0,0.613
